Step,Average_Reward
18100,-63.450719788565586
18000,-102.6932006146498
18200,-98.40114171374576
18100,-52.11522998897482
18300,-48.44903179542837
18200,-57.10207040154011
18400,-52.866586379484026
18300,-77.8796661120157
18500,-86.11275171996134
18400,-82.4277698667532
18600,-75.27926650281246
18500,-107.85274573518727
18700,-112.66127186026064
18600,-70.93240994726892
18800,-65.11770215370416
18700,-56.88152940210195
18900,-52.67117073874903
18800,-67.86334328784196
19000,-62.399371200441664
18900,-71.42475684801751
19100,-65.55422814326563
19000,-37.80694440612774
19200,-45.913916868749595
19100,-55.37378886222693
19300,-66.18240872053377
19200,-73.55172291600805
19400,-74.63467395770881
19300,-66.66792015425351
19500,-61.34053260048551
19400,-26.189078845388824
19600,-25.482563073928873
19500,-20.239768761348216
19700,-20.210264687513135
19600,-45.936722429173884
19800,-52.668055605994304
19700,-75.74105499788166
19900,-69.37775136238528
19800,-66.40839756012454
20000,-61.110520412342154
19900,-115.13392381284211
20100,-106.87366091159953
20000,-56.0084349846329
20200,-51.897797690484225
20100,-27.03459114322082
20300,-26.221580056713417
20200,-52.42734695931661
20400,-63.56468797700232
20300,-89.87077382316166
20500,-96.7348079672222
20400,-90.34731520584839
20600,-82.31660996012492
20500,-82.39740785169262
20700,-75.2742652504374
20600,-34.73374732185012
20800,-31.790366594963636
20700,-67.22834118616899
20900,-61.83501030498549
20800,-72.88841318502352
21000,-66.85055172788627
20900,-70.8046812680051
21100,-79.8453976597731
21000,-134.42410742995813
21200,-136.20220991278515
21100,-53.56910030119902
21300,-54.78087687811117
21200,-97.69771135078057
21400,-103.66827089900086
21300,-101.60361965788357
21500,-102.13331675626817
21400,-94.64994871288623
21600,-100.96857623312044
21500,-140.07412520003206
21700,-141.2072390963601
21600,-148.68363489216125
21800,-148.83390795387038
21700,-115.80983323733959
21900,-119.71555089977319
21800,-60.31388591895035
22000,-55.72076180482592
21900,-44.27792868745152
22100,-40.62311002460714
22000,-12.572354189027143
22200,-10.829320251878416
22100,-0.3463561433015296
22300,0.07750548596876816
22200,-1.894193968704009
22400,-3.241424415214186
22300,0.5459236132290777
22500,0.6320729387877723
22400,1.1442461316301966
22600,1.5238603885960678
22500,-0.9028091639031922
22700,-0.1290504857700763
22600,0.4375392861188625
22800,0.9772652534418116
22700,-5.414153955920183
22900,-4.3614509583500185
22800,-5.680292430054122
23000,-5.019283065821792
22900,-17.509794284471358
23100,-24.95115488883847
23000,-27.808551157562746
23200,-41.752547975669785
23100,-36.03097344688027
23300,-34.20508888863835
23200,-46.3583746225409
23400,-58.19040926733032
23300,-23.66922066110776
23500,-23.281127644062646
23400,-50.53897571109699
23600,-61.89729100355211
23500,-75.4356424310637
23700,-73.85613405858554
23600,-67.74110463731535
23800,-62.2911655833055
23700,-65.92582363916074
23900,-60.68305047592274
23800,-22.25163533867678
24000,-22.088953178995897
23900,-44.08130479012791
24100,-41.34475424078471
24000,-61.87251527768246
24200,-57.09410821038568
24100,-25.553114380322427
24300,-24.91940415717318
24200,-20.736451562951057
24400,-20.652409194591026
24300,-20.097667879216477
24500,-20.086522217648238
24400,-33.519756167535725
24600,-31.97637350551944
24500,-21.792984058743862
24700,-21.588301335531604
24600,-86.9280296434795
24800,-94.12817562262536
24700,-125.93987819882153
24900,-128.68652442096368
24800,-90.43856198146024
25000,-82.397463450452
24900,-74.97732137961572
25100,-68.70124126446518
25000,-71.37453939456846
25200,-65.50974429307867
25100,-117.2727833902966
25300,-121.00884451940884
25200,-118.72346904943821
25400,-122.2939233575878
25300,-80.73243511510974
25500,-73.79936491803724
25400,-72.10927383965627
25600,-73.80564320321527
25500,-86.7011359898615
25700,-93.92718359927235
25600,-107.61898626254975
25800,-105.26165139970719
25700,-105.30859076538849
25900,-95.5699651517644
25800,-113.30964741451824
26000,-117.4981307109372
25900,-120.31605326337402
26100,-108.86421146170711
26000,-80.07413637311751
26200,-88.02858211362191
