episode,reward,total_env_steps,ep_steps,avg_time_ms,goal_x,goal_y
224,406.94,427568,662,0.3614,-2.0495,-2.9711
225,-1212.84,431568,4000,0.3523,-4.3637,-2.9592
226,-761.96,435568,4000,0.3521,-4.3941,-2.2896
227,535.58,436833,1265,0.3691,-2.7261,-4.0672
228,-419.37,440833,4000,0.3552,-4.2707,-4.0412
229,238.95,441003,170,0.3586,-2.0499,-3.3536
230,165.66,441107,104,0.3473,-2.5398,-2.909
231,180.18,441559,452,0.3491,-3.069,-4.1372
232,216.35,441837,278,0.3539,-2.1349,-3.7466
233,268.41,443351,1514,0.3508,-3.055,-2.7506
234,399.25,443806,455,0.3428,-2.8769,-2.1485
235,-157.19,447806,4000,0.3526,-4.1289,-3.2291
236,-1134.9,451806,4000,0.3486,-3.4899,-3.3146
237,-748.33,455806,4000,0.3561,-4.202,-4.1648
238,112.36,458712,2906,0.3564,-3.8048,-3.7382
239,159.99,459899,1187,0.3529,-3.4302,-2.9725
240,-1153.41,463899,4000,0.3539,-2.9134,-3.4705
241,-1207.04,467899,4000,0.3559,-3.478,-3.9559
242,190.88,471899,4000,0.3532,-3.0292,-3.7074
243,-132.53,475899,4000,0.3512,-4.4099,-3.454
244,-83.04,479899,4000,0.3499,-3.3147,-3.936
245,345.21,483120,3221,0.3539,-3.0689,-3.0856
246,183.21,483260,140,0.3504,-2.745,-2.8801
247,246.69,483583,323,0.3629,-2.8689,-3.7095
248,182.35,483717,134,0.357,-2.5314,-3.1271
249,526.25,485228,1511,0.3542,-3.4215,-2.935
250,290.75,487228,2000,0.3502,-3.5984,-3.2182
251,173.69,487297,69,0.358,-2.6582,-2.284
252,261.71,487806,509,0.3506,-2.1974,-3.2409
253,31.64,489275,1469,0.3514,-3.1993,-2.5003
254,-479.79,493275,4000,0.3525,-3.7139,-2.4065
255,351.32,495203,1928,0.3543,-3.2646,-4.2104
256,-443.12,499203,4000,0.3532,-4.3199,-2.395
257,-152.4,503203,4000,0.356,-4.3611,-3.7985
258,-381.67,507203,4000,0.3513,-3.6647,-4.0675
259,171.83,507472,269,0.3511,-3.7153,-2.6433
260,-488.78,511472,4000,0.3561,-4.4633,-2.4321
261,349.64,512281,809,0.3512,-2.3586,-3.5693
262,-824.89,516281,4000,0.3511,-4.116,-2.9979
263,356.47,517774,1493,0.3499,-4.2008,-3.5877
264,101.85,517775,1,0.3792,-2.1039,-2.0113
265,213.44,519268,1493,0.3454,-2.5697,-3.7226
266,284.92,519789,521,0.3543,-2.7808,-2.7365
267,221.61,520097,308,0.3533,-3.5304,-2.8978
268,-421.92,524097,4000,0.3615,-4.4732,-3.9774
269,158.92,524840,743,0.3587,-3.1873,-4.0906
270,-1127.31,528840,4000,0.3609,-4.0852,-2.4092
271,-1203.55,532840,4000,0.3544,-2.0272,-3.1101
272,101.45,532841,1,0.4189,-2.4023,-2.0242
273,379.18,533485,644,0.3489,-4.146,-3.3794
274,-1173.58,537485,4000,0.355,-3.5186,-4.2999
275,265.47,537910,425,0.3691,-2.6117,-3.4156
276,-1136.49,541910,4000,0.3498,-3.3267,-4.1233
